dataset_name,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
TIME__US_Term_Structure__B,-0.0026803727,0.0012045669,-0.0597924020,-0.0296034466,0.2015274175,0.0812164760,0.0379944264,-0.2426985014,-0.0582297840,0.1449751825,0.0421664732,0.1540215062
TIME__Water_Quality_Darwin__15T,0.0225817395,0.0150924368,0.0226453164,0.1902508651,0.1648097921,0.0861849768,-0.2133379497,-0.6957511412,0.2115979537,0.0353177297,0.1687570424,0.1070567570
TIME__azure2019_D__5T,0.3083788855,0.3316814060,0.3847467263,-0.0748759680,0.6371145441,-0.0824900368,-0.1052620585,-0.0338750431,-0.3311201236,0.0493663263,0.3247356443,0.3684116315
TIME__azure2019_I__5T,0.2855917502,0.3084620700,0.3425274430,-0.1084925629,0.4310378698,-0.0458776311,0.0136203751,-0.4720910757,0.2302892510,0.1381873285,0.1758895490,0.4628513999
TIME__current_velocity__10T,0.0423752777,0.0349709039,0.0633699436,-0.2769162187,0.4877658505,-0.1837049505,0.2676105587,-0.7607447595,0.6293987587,0.0713456895,-0.0538424059,0.1469878718
TIME__current_velocity__15T,-0.0494310540,-0.0895712887,-0.0673649357,0.3147479293,-0.1189560941,0.1862852637,-0.3372325261,-0.5617266509,0.6031023695,0.1601747220,0.1149815892,-0.1336284182
TIME__current_velocity__20T,0.1434117205,0.1314580944,0.1751548399,0.1539903265,0.5106310732,0.0114956858,-0.2310388150,-0.7603031990,0.6295438714,0.1825507153,0.2786629669,0.2258903128
TIME__current_velocity__5T,0.0487249546,0.0279044793,0.0575114252,-0.1895106554,0.3344273836,-0.1509640170,0.1376587171,-0.7714258889,0.7537851839,0.0071783068,-0.0439496434,0.1217685317
TIME__current_velocity__H,0.4331525828,0.4502713085,0.4783374907,-0.0953986473,0.6239907101,-0.1488954653,0.0557384095,-0.2512364029,0.0790489135,0.1036940641,0.2870591268,0.5154751754
TIME__epf_electricity_price__H,0.3273491452,0.3340798679,0.3602271765,0.1114832511,0.1635305018,0.1034882725,-0.0819711330,-0.4532334804,0.1598891276,0.1397046634,0.2184069197,0.4765328399
