candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd
timesnet_long_term_forecast_etth1_el1_dm32_df128_tk7_nk6_0001,timesnet_long_term_forecast_etth1_el1_dm32_df128_tk7_nk6_0001,TimesNet,long_term_forecast,ETTh1,5,success,,-0.003601701930165291
timesnet_long_term_forecast_etth1_el2_dm64_df256_tk6_nk3_0002,timesnet_long_term_forecast_etth1_el2_dm64_df256_tk6_nk3_0002,TimesNet,long_term_forecast,ETTh1,5,success,,-0.006811938341706991
timesnet_long_term_forecast_etth1_el4_dm8_df16_tk5_nk6_0003,timesnet_long_term_forecast_etth1_el4_dm8_df16_tk5_nk6_0003,TimesNet,long_term_forecast,ETTh1,5,success,,-0.0007411312777549029
timesnet_long_term_forecast_etth1_el4_dm8_df16_tk8_nk7_0004,timesnet_long_term_forecast_etth1_el4_dm8_df16_tk8_nk7_0004,TimesNet,long_term_forecast,ETTh1,5,success,,0.005958045925945043
timesnet_long_term_forecast_etth1_el4_dm64_df256_tk5_nk8_0005,timesnet_long_term_forecast_etth1_el4_dm64_df256_tk5_nk8_0005,TimesNet,long_term_forecast,ETTh1,5,success,,-0.0035984167829155923
timesnet_long_term_forecast_etth1_el1_dm32_df128_tk2_nk3_0006,timesnet_long_term_forecast_etth1_el1_dm32_df128_tk2_nk3_0006,TimesNet,long_term_forecast,ETTh1,5,success,,-0.004802759550511837
timesnet_long_term_forecast_etth1_el2_dm16_df32_tk8_nk4_0007,timesnet_long_term_forecast_etth1_el2_dm16_df32_tk8_nk4_0007,TimesNet,long_term_forecast,ETTh1,5,success,,0.0031379217281937597
timesnet_long_term_forecast_etth1_el4_dm32_df128_tk4_nk3_0008,timesnet_long_term_forecast_etth1_el4_dm32_df128_tk4_nk3_0008,TimesNet,long_term_forecast,ETTh1,5,success,,0.008977593015879392
timesnet_long_term_forecast_etth1_el4_dm64_df128_tk4_nk3_0009,timesnet_long_term_forecast_etth1_el4_dm64_df128_tk4_nk3_0009,TimesNet,long_term_forecast,ETTh1,5,success,,7.815808057785035e-05
timesnet_long_term_forecast_etth1_el4_dm16_df64_tk2_nk8_0010,timesnet_long_term_forecast_etth1_el4_dm16_df64_tk2_nk8_0010,TimesNet,long_term_forecast,ETTh1,5,success,,-0.006831393577158451
timesnet_long_term_forecast_etth1_el3_dm32_df64_tk5_nk6_0011,timesnet_long_term_forecast_etth1_el3_dm32_df64_tk5_nk6_0011,TimesNet,long_term_forecast,ETTh1,5,success,,0.005156007036566735
timesnet_long_term_forecast_etth1_el4_dm16_df64_tk8_nk5_0012,timesnet_long_term_forecast_etth1_el4_dm16_df64_tk8_nk5_0012,TimesNet,long_term_forecast,ETTh1,5,success,,-0.0012404495850205422
timesnet_long_term_forecast_etth1_el4_dm16_df32_tk6_nk8_0013,timesnet_long_term_forecast_etth1_el4_dm16_df32_tk6_nk8_0013,TimesNet,long_term_forecast,ETTh1,5,success,,0.006835125712677836
timesnet_long_term_forecast_etth1_el3_dm64_df256_tk8_nk6_0014,timesnet_long_term_forecast_etth1_el3_dm64_df256_tk8_nk6_0014,TimesNet,long_term_forecast,ETTh1,5,success,,0.009506423957645893
timesnet_long_term_forecast_etth1_el4_dm32_df64_tk6_nk4_0015,timesnet_long_term_forecast_etth1_el4_dm32_df64_tk6_nk4_0015,TimesNet,long_term_forecast,ETTh1,5,success,,-0.010923877451568842
timesnet_long_term_forecast_etth1_el3_dm32_df128_tk5_nk6_0016,timesnet_long_term_forecast_etth1_el3_dm32_df128_tk5_nk6_0016,TimesNet,long_term_forecast,ETTh1,5,success,,-0.008537317160516977
timesnet_long_term_forecast_etth1_el2_dm16_df64_tk6_nk8_0017,timesnet_long_term_forecast_etth1_el2_dm16_df64_tk6_nk8_0017,TimesNet,long_term_forecast,ETTh1,5,success,,-0.017424388974905013
timesnet_long_term_forecast_etth1_el1_dm8_df16_tk2_nk8_0018,timesnet_long_term_forecast_etth1_el1_dm8_df16_tk2_nk8_0018,TimesNet,long_term_forecast,ETTh1,5,success,,0.004716103617101908
timesnet_long_term_forecast_etth1_el4_dm32_df128_tk8_nk6_0019,timesnet_long_term_forecast_etth1_el4_dm32_df128_tk8_nk6_0019,TimesNet,long_term_forecast,ETTh1,5,success,,0.002577567286789417
