candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd_q005,sfrd_q010,sfrd_q015,sfrd_q020,sfrd_q025,sfrd_q030,sfrd_q035,sfrd_q040,sfrd_q045,sfrd_q050
timesnet_classification_uea_el1_dm32_df128_tk7_nk6_0001,timesnet_classification_uea_el1_dm32_df128_tk7_nk6_0001,TimesNet,classification,UEA,5,success,,1.3515120029449463,1.1862937688827515,1.0771962642669677,1.0126128792762756,0.9529923677444458,0.9031690239906311,0.8497460722923279,0.7972577214241028,0.7424999475479126,0.6804867267608643
timesnet_classification_uea_el2_dm64_df256_tk6_nk3_0002,timesnet_classification_uea_el2_dm64_df256_tk6_nk3_0002,TimesNet,classification,UEA,5,success,,1.2894408702850342,1.1005298137664794,0.9839598536491394,0.9094526648521424,0.848265779018402,0.7975877046585083,0.748505699634552,0.7015178322792053,0.6529472827911377,0.600058114528656
timesnet_classification_uea_el4_dm8_df16_tk5_nk6_0003,timesnet_classification_uea_el4_dm8_df16_tk5_nk6_0003,TimesNet,classification,UEA,5,success,,1.1447947025299072,1.0189401030540466,0.931550943851471,0.8883194208145142,0.8459773302078247,0.8086337924003602,0.763908040523529,0.7211020827293396,0.6726436495780945,0.617053771018982
timesnet_classification_uea_el4_dm8_df16_tk8_nk7_0004,timesnet_classification_uea_el4_dm8_df16_tk8_nk7_0004,TimesNet,classification,UEA,5,success,,0.8940430402755737,0.767220675945282,0.6927245616912842,0.6527846813201904,0.6213881850242615,0.5942324519157409,0.5619132041931152,0.5317696690559387,0.4964615762233734,0.455134254693985
timesnet_classification_uea_el4_dm64_df256_tk5_nk8_0005,timesnet_classification_uea_el4_dm64_df256_tk5_nk8_0005,TimesNet,classification,UEA,5,success,,1.346232795715332,1.1650726795196533,1.0507667541503907,0.9771224737167359,0.9152699112892151,0.8639505743980408,0.8115371108055115,0.7616313457489013,0.7093513250350952,0.6509101867675782
timesnet_classification_uea_el1_dm32_df128_tk2_nk3_0006,timesnet_classification_uea_el1_dm32_df128_tk2_nk3_0006,TimesNet,classification,UEA,5,success,,1.2234380483627318,1.0392146944999694,0.9290909767150879,0.8585708498954773,0.8013697385787963,0.7548292636871338,0.7086296796798706,0.664190673828125,0.6187145113945007,0.5687804460525513
timesnet_classification_uea_el2_dm16_df32_tk8_nk4_0007,timesnet_classification_uea_el2_dm16_df32_tk8_nk4_0007,TimesNet,classification,UEA,5,success,,1.106302559375763,0.9630782961845398,0.8770640254020691,0.8292419075965881,0.7870758414268494,0.7511219382286072,0.7108745336532593,0.6711199522018433,0.6263645172119141,0.574400532245636
timesnet_classification_uea_el4_dm32_df128_tk4_nk3_0008,timesnet_classification_uea_el4_dm32_df128_tk4_nk3_0008,TimesNet,classification,UEA,5,success,,1.192784070968628,1.0239528179168702,0.9198116660118103,0.8567089438438416,0.804246187210083,0.7608370780944824,0.7166846394538879,0.6736949801445007,0.628011679649353,0.5765156984329224
timesnet_classification_uea_el4_dm64_df128_tk4_nk3_0009,timesnet_classification_uea_el4_dm64_df128_tk4_nk3_0009,TimesNet,classification,UEA,5,success,,1.313697600364685,1.1270048856735229,1.008716356754303,0.9354212045669555,0.8740846991539002,0.8235990166664123,0.7726232171058655,0.7237774133682251,0.673847496509552,0.6195131778717041
timesnet_classification_uea_el4_dm16_df64_tk2_nk8_0010,timesnet_classification_uea_el4_dm16_df64_tk2_nk8_0010,TimesNet,classification,UEA,5,success,,1.1230697870254516,0.9542650938034057,0.857735538482666,0.7972497940063477,0.7487878799438477,0.7080603957176208,0.6669490098953247,0.6281894564628601,0.5857063889503479,0.5372542440891266
timesnet_classification_uea_el3_dm32_df64_tk5_nk6_0011,timesnet_classification_uea_el3_dm32_df64_tk5_nk6_0011,TimesNet,classification,UEA,5,success,,1.193245267868042,1.0336979389190675,0.9339133501052856,0.8739237070083619,0.8235196232795715,0.7812923192977905,0.7354475736618042,0.6904522776603699,0.6431987047195434,0.5892699122428894
timesnet_classification_uea_el4_dm16_df64_tk8_nk5_0012,timesnet_classification_uea_el4_dm16_df64_tk8_nk5_0012,TimesNet,classification,UEA,5,success,,1.1726443290710449,1.0082336783409118,0.9102995753288269,0.8514581084251404,0.8022614479064941,0.7618168473243714,0.7194332122802735,0.6778696298599243,0.6329752445220947,0.5815884113311768
timesnet_classification_uea_el4_dm16_df32_tk6_nk8_0013,timesnet_classification_uea_el4_dm16_df32_tk6_nk8_0013,TimesNet,classification,UEA,5,success,,1.0591880679130554,0.9199820280075073,0.8341167807579041,0.786414361000061,0.7436005592346191,0.7090467929840087,0.6699213981628418,0.631061053276062,0.58864666223526,0.5398250699043274
timesnet_classification_uea_el3_dm64_df256_tk8_nk6_0014,timesnet_classification_uea_el3_dm64_df256_tk8_nk6_0014,TimesNet,classification,UEA,5,success,,1.3126847267150878,1.1261874675750732,1.0108211278915404,0.9352991342544555,0.8742425203323364,0.8228595376014709,0.7721832633018494,0.7241200685501099,0.6740548729896545,0.6188320636749267
timesnet_classification_uea_el4_dm32_df64_tk6_nk4_0015,timesnet_classification_uea_el4_dm32_df64_tk6_nk4_0015,TimesNet,classification,UEA,5,success,,1.2374656438827514,1.0726665019989015,0.9687514781951905,0.9058879017829895,0.8522509336471558,0.8073988676071167,0.7604608058929443,0.7144540309906006,0.6657323479652405,0.6107858180999756
timesnet_classification_uea_el3_dm32_df128_tk5_nk6_0016,timesnet_classification_uea_el3_dm32_df128_tk5_nk6_0016,TimesNet,classification,UEA,5,success,,1.1632452964782716,0.9935614109039307,0.8916667461395263,0.8284232378005981,0.7771275639533997,0.7344643712043762,0.6902465105056763,0.648735237121582,0.6041020035743714,0.5539531230926513
timesnet_classification_uea_el2_dm16_df64_tk6_nk8_0017,timesnet_classification_uea_el2_dm16_df64_tk6_nk8_0017,TimesNet,classification,UEA,5,success,,1.2379632949829102,1.0765050888061523,0.9755275845527649,0.913798987865448,0.8604916334152222,0.8156662583351135,0.7689719915390014,0.7228368163108826,0.6738425850868225,0.6182448625564575
