candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,558336.0,31.306604385375977,170829688.0,0.0990749478340149,0.6629364132881165,1.870079795480706e-05,-0.10162919610738755,-5.1377520786089725,38.7230640411377,0.05842679440975189,1.3719385147094727,270782273106739.2
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,278336.0,27.05132293701172,84567928.0,0.08841198831796646,0.6693636894226074,2.42135956796119e-05,-0.10176376402378082,-4.936628221147932,32.236907958984375,0.0671845868229866,0.9610674023628235,33491970424832.0
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,276032.0,26.9956111907959,83388280.0,0.09397074282169342,0.6602549314498901,2.7578834487940184e-05,-0.11065057665109634,-5.007296538344656,28.125591278076172,0.06217698007822037,0.9881227254867554,22178470402457.6
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,439392.0,30.635190963745117,142444408.0,0.0877151533961296,0.6566107988357544,1.645773536438355e-05,-0.08126682788133621,-4.86203906608724,33.542769241333005,0.06505952477455139,1.1701685190200806,183136348536832.0
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,504448.0,28.577970504760742,132294520.0,0.07307007610797882,0.7054232835769654,8.47873670863919e-06,-0.05058669075369835,-4.9703850874276885,28.691540908813476,0.0471548818051815,1.0400285601615906,28905312354304.0
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,237184.0,23.53656005859375,55076728.0,0.0654354065656662,0.7038108944892884,8.255540706159081e-06,-0.045017924159765244,-5.174285089696009,28.690641784667967,0.031101902946829796,0.6611429333686829,1104922673152.0
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,274304.0,26.963346481323242,81028984.0,0.11635183691978454,0.6625396609306335,3.6948429624317214e-05,-0.16951643526554108,-5.324263717372082,39.03344879150391,0.08170081377029419,1.2108114242553711,19238968360960.0
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,254976.0,25.28314208984375,67659640.0,0.18216696977615357,0.6613797545433044,0.00010870224650716409,-0.5329333126544953,-5.859401620535998,47.80524597167969,0.11711562126874923,1.7726773500442505,5306697698508.8
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,434784.0,30.617326736450195,138905464.0,0.10152794867753982,0.6629534959793091,2.0458376820897683e-05,-0.1067906528711319,-4.981614983659171,39.39472122192383,0.06674588620662689,1.320176124572754,131517946789888.0
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,629632.0,33.95263671875,225093496.0,0.12730274051427842,0.651559340953827,2.957709912152495e-05,-0.18906463980674743,-5.032145414743496,31.40221748352051,0.08962475508451462,1.8368391513824462,238227679294259.2
Mamba_010,Mamba_010,Mamba,long_term_forecast,custom,5,success,,369216.0,26.317768096923828,92309368.0,0.17134510576725007,0.6847023725509643,6.961521212360822e-05,-0.4700088918209076,-6.159170328796746,52.88154067993164,0.09207141548395156,1.9922367095947267,19555269214208.0
Mamba_011,Mamba_011,Mamba,long_term_forecast,custom,5,success,,559104.0,31.37102699279785,172402552.0,0.07765830159187317,0.6772504925727845,8.274992796941661e-06,-0.05568103715777397,-4.98335659336229,29.72064552307129,0.04141103401780129,1.1160071611404419,182638669201408.0
Mamba_012,Mamba_012,Mamba,long_term_forecast,custom,5,success,,272192.0,26.948720932006836,79849336.0,0.08919843584299088,0.6855101346969604,2.04159616259858e-05,-0.0982148215174675,-5.197417025801558,31.892970657348634,0.062556242197752,0.9662363648414611,24761878970368.0
Mamba_013,Mamba_013,Mamba,long_term_forecast,custom,5,success,,409344.0,28.571205139160156,121210744.0,0.1450597256422043,0.6380016207695007,7.069185157888569e-05,-0.2795973032712936,-5.171661050867796,35.412245178222655,0.08688029199838639,1.6833801507949828,66406453975449.6
Mamba_014,Mamba_014,Mamba,long_term_forecast,custom,5,success,,370464.0,26.359031677246094,92899192.0,0.13628116846084595,0.6723114728927613,5.485830770339817e-05,-0.2776886999607086,-5.240060040231787,34.73787231445313,0.0905953049659729,1.5614218235015869,39406795541708.8
Mamba_015,Mamba_015,Mamba,long_term_forecast,custom,5,success,,275648.0,27.026500701904297,83388280.0,0.14095969200134278,0.6670338630676269,4.062476145918481e-05,-0.21312809884548187,-5.720450579732164,40.47779998779297,0.07576500177383423,1.3825146436691285,6917977538560.0
Mamba_016,Mamba_016,Mamba,long_term_forecast,custom,5,success,,613504.0,33.827125549316406,213297016.0,0.09769116938114167,0.6337712287902832,2.02733293917845e-05,-0.11324576884508133,-5.005670696573366,28.80603485107422,0.07287645190954209,1.3626506090164185,408853184040140.8
Mamba_017,Mamba_017,Mamba,long_term_forecast,custom,5,success,,363456.0,26.121902465820312,88180600.0,0.29474441707134247,0.6648575305938721,0.00024079293070826678,-1.3246584057807922,-5.123052287703991,39.42872543334961,0.15731289982795715,3.159125280380249,7105784315904.0
Mamba_018,Mamba_018,Mamba,long_term_forecast,custom,5,success,,622336.0,33.95444869995117,218015608.0,0.09807517677545548,0.6417122125625611,1.425736554665491e-05,-0.09290080070495606,-5.224003143730258,34.9082275390625,0.06849353983998299,1.4520797967910766,484148376502272.0
Mamba_019,Mamba_019,Mamba,long_term_forecast,custom,5,success,,630400.0,34.01318359375,225093496.0,0.0901390090584755,0.6355556845664978,1.6992373093671632e-05,-0.10200532972812652,-4.95482389808432,33.89085311889649,0.056464549899101255,1.287417721748352,865585066305126.4
Mamba_020,Mamba_020,Mamba,long_term_forecast,custom,5,success,,555008.0,31.352832794189453,169256824.0,0.08617697954177857,0.6857090473175049,1.0957378071907442e-05,-0.07294973731040955,-5.069001109312668,37.53206901550293,0.05754423514008522,1.2259185552597045,130048707264512.0
Mamba_021,Mamba_021,Mamba,long_term_forecast,custom,5,success,,364512.0,26.19728660583496,88770424.0,0.17377317249774932,0.6683446764945984,5.1994026580359784e-05,-0.3256627440452576,-5.77486725108492,52.9056884765625,0.08691824972629547,1.9223051071166992,5471937547468.8
Mamba_022,Mamba_022,Mamba,long_term_forecast,custom,5,success,,432192.0,30.61355209350586,138905464.0,0.0904057040810585,0.6352465152740479,1.8006202481046785e-05,-0.08258924409747123,-5.023358296311036,29.121847534179686,0.05986865237355232,1.1328694939613342,55682451636224.0
Mamba_023,Mamba_023,Mamba,long_term_forecast,custom,5,success,,556032.0,31.333131790161133,170829688.0,0.0927360936999321,0.6754214406013489,1.2212099318276159e-05,-0.0844744548201561,-5.212220795137805,42.43587646484375,0.04002165198326111,1.2836710453033446,119155764232192.0
Mamba_024,Mamba_024,Mamba,long_term_forecast,custom,5,success,,406848.0,28.57053565979004,120031096.0,0.13942934870719909,0.6821745991706848,3.3134608747786844e-05,-0.21555770337581634,-5.300574390566561,37.879874801635744,0.08719166815280914,1.7211468935012817,26986363748352.0
Mamba_025,Mamba_025,Mamba,long_term_forecast,custom,5,success,,398784.0,28.40526580810547,114132856.0,0.15976204872131347,0.6688032627105713,5.645244527840987e-05,-0.33342278003692627,-5.74552351227417,34.3607234954834,0.11129344701766967,1.9053256034851074,41428801552384.0
Mamba_026,Mamba_026,Mamba,long_term_forecast,custom,5,success,,431904.0,30.629487991333008,138905464.0,0.1960939347743988,0.6478585839271546,8.468372470815666e-05,-0.4852688252925873,-5.742501217666726,41.07065773010254,0.13612379729747773,2.371396040916443,27924226061107.2
Mamba_027,Mamba_027,Mamba,long_term_forecast,custom,5,success,,236864.0,23.494970321655273,54683512.0,0.18047183454036714,0.649314796924591,7.497582482756116e-05,-0.461460018157959,-4.943233818448885,33.159664916992185,0.1106173813343048,1.5604663372039795,541287448576.0
Mamba_028,Mamba_028,Mamba,long_term_forecast,custom,5,success,,266432.0,26.864028930664062,76310392.0,0.08756572008132935,0.6708892703056335,1.3826897338731215e-05,-0.06644488424062729,-5.947805467618386,48.60218620300293,0.034552232921123506,0.9312480926513672,3636199686144.0
Mamba_029,Mamba_029,Mamba,long_term_forecast,custom,5,success,,618112.0,33.8666877746582,215656312.0,0.11605558544397354,0.6234027147293091,2.5328337869723327e-05,-0.14959989190101625,-5.838366017018922,42.7000846862793,0.056413594633340836,1.5453856468200684,605959380113817.6
Mamba_030,Mamba_030,Mamba,long_term_forecast,custom,5,success,,275840.0,27.00518226623535,83388280.0,0.08687115758657456,0.6756053686141967,1.8064816322294065e-05,-0.08513026982545853,-5.458905431952994,35.20492362976074,0.055570609867572784,0.976366925239563,13403395037593.6
Mamba_031,Mamba_031,Mamba,long_term_forecast,custom,5,success,,611968.0,33.89808654785156,210937720.0,0.12615229934453964,0.6269641757011414,3.2350177571061066e-05,-0.17603597939014434,-5.511258315052534,44.2281379699707,0.07902451977133751,1.6638194084167481,442635135221760.0
Mamba_032,Mamba_032,Mamba,long_term_forecast,custom,5,success,,606976.0,33.804649353027344,208578424.0,0.1249625027179718,0.6550143718719482,2.3141042765928434e-05,-0.16680764853954316,-5.2494111678807,37.27981872558594,0.09127734303474426,1.7840667247772217,170593775674982.4
Mamba_033,Mamba_033,Mamba,long_term_forecast,custom,5,success,,370272.0,26.396188735961914,92899192.0,0.16727737486362457,0.7045563220977783,5.3314076649257916e-05,-0.36030625104904174,-5.211065829176972,43.41129684448242,0.1093946412205696,1.9990137577056886,13608052326400.0
Mamba_034,Mamba_034,Mamba,long_term_forecast,custom,5,success,,400128.0,28.42586326599121,114132856.0,0.1611134797334671,0.6568466305732727,7.013539507170208e-05,-0.3106549620628357,-5.814838022310184,44.64970092773437,0.09185876995325089,1.8378297328948974,33946114981888.0
Mamba_035,Mamba_035,Mamba,long_term_forecast,custom,5,success,,496896.0,28.423295974731445,126789496.0,0.13238015174865722,0.6666123151779175,2.6527147929300555e-05,-0.20370752215385438,-5.218593912120514,37.673973846435544,0.08148006647825241,1.6681128025054932,22053960810496.0
Mamba_036,Mamba_036,Mamba,long_term_forecast,custom,5,success,,404544.0,28.507360458374023,118851448.0,0.137469319999218,0.6518390536308288,3.6278747211326844e-05,-0.21140305399894715,-5.286494187114932,40.16239471435547,0.09119676202535629,1.6239976406097412,17617757877043.2
Mamba_037,Mamba_037,Mamba,long_term_forecast,custom,5,success,,403200.0,28.451679229736328,116492152.0,0.14650993645191193,0.6609630703926086,6.45427338895388e-05,-0.2730358481407166,-5.396467559152185,40.860774230957034,0.10576488226652145,1.730035376548767,46951240302592.0
Mamba_038,Mamba_038,Mamba,long_term_forecast,custom,5,success,,278144.0,27.05514907836914,84567928.0,0.11324740648269653,0.6424106597900391,2.4220949853770435e-05,-0.15364452749490737,-5.27221869435528,31.242019653320312,0.06299069002270699,1.149078941345215,19945714876416.0
Mamba_039,Mamba_039,Mamba,long_term_forecast,custom,5,success,,266816.0,26.859634399414062,76310392.0,0.1175597295165062,0.6746444940567017,4.1903772216755894e-05,-0.16880177557468415,-5.477123066984331,30.117242050170898,0.08489077091217041,1.1871155977249146,11947209654272.0
Mamba_040,Mamba_040,Mamba,long_term_forecast,custom,5,success,,240832.0,23.771669387817383,57436024.0,0.08219018280506134,0.7115967154502869,1.42990771564655e-05,-0.08098939806222916,-5.117203014422492,25.378724670410158,0.05470515415072441,0.810297966003418,5196817419468.8
Mamba_041,Mamba_041,Mamba,long_term_forecast,custom,5,success,,427296.0,30.526018142700195,135366520.0,0.19078243374824524,0.6365897178649902,8.175044567906297e-05,-0.46925713419914244,-5.82295508141545,45.220981216430665,0.13779030442237855,2.2708066940307616,20074205282304.0
Mamba_042,Mamba_042,Mamba,long_term_forecast,custom,5,success,,238784.0,23.681854248046875,55863160.0,0.06482091769576073,0.7136280179023743,7.208299302874366e-06,-0.04685260616242885,-5.410597805430635,23.602367782592772,0.03845131620764732,0.6603938341140747,4069679903539.2
Mamba_043,Mamba_043,Mamba,long_term_forecast,custom,5,success,,625408.0,33.96397399902344,222734200.0,0.13232051432132722,0.6481745481491089,2.171497872041073e-05,-0.16592504680156708,-6.022427894958435,43.83456573486328,0.07891555577516556,1.8671555757522582,341210146904473.6
Mamba_044,Mamba_044,Mamba,long_term_forecast,custom,5,success,,606592.0,33.726539611816406,208578424.0,0.13739076256752014,0.6579680919647217,3.1253109773388134e-05,-0.19289494752883912,-5.298282485884242,38.72683486938477,0.0841758280992508,1.952800726890564,78503499477811.2
Mamba_045,Mamba_045,Mamba,long_term_forecast,custom,5,success,,435648.0,30.642942428588867,140674936.0,0.10004154741764068,0.6365801453590393,1.8513097893446683e-05,-0.1073544129729271,-4.976603680796264,30.290611267089844,0.0682297669351101,1.226470947265625,83521803019878.4
Mamba_046,Mamba_046,Mamba,long_term_forecast,custom,5,success,,237952.0,23.592796325683594,55469944.0,0.06767847687005997,0.7141698241233826,1.0558392568782438e-05,-0.053223028779029846,-4.92151076266606,18.527113914489746,0.04684996679425239,0.6961126089096069,1674508291276.8
Mamba_047,Mamba_047,Mamba,long_term_forecast,custom,5,success,,444576.0,30.722707748413086,147752824.0,0.18070275485515594,0.6391078114509583,6.908860086696222e-05,-0.41215614080429075,-5.711640549999398,41.767805862426755,0.12171460539102555,2.166159725189209,59429747687424.0
Mamba_048,Mamba_048,Mamba,long_term_forecast,custom,5,success,,363360.0,26.142377853393555,88180600.0,0.15355215668678285,0.6915601134300232,4.2700758785940704e-05,-0.2987977623939514,-5.2704853603402935,40.74927597045898,0.08792217224836349,1.790066909790039,3627746643148.8
Mamba_049,Mamba_049,Mamba,long_term_forecast,custom,5,success,,255104.0,25.30379295349121,67659640.0,0.0840237095952034,0.6903695225715637,1.8056409135169816e-05,-0.08296323344111442,-4.943218198107006,34.96649360656738,0.06753417626023292,0.9011979699134827,9878024224768.0
Mamba_050,Mamba_050,Mamba,long_term_forecast,custom,5,success,,501888.0,28.540681838989258,129935224.0,0.08829458057880402,0.6794648885726928,1.0950014529953479e-05,-0.06701927706599235,-5.641693581605871,41.20436820983887,0.05114334598183632,1.1785553693771362,27839670570188.8
Mamba_051,Mamba_051,Mamba,long_term_forecast,custom,5,success,,625024.0,33.9015998840332,222734200.0,0.13205386698246002,0.6471450686454773,3.071408391406294e-05,-0.19518668651580812,-4.929395301397462,34.38735389709473,0.07604523301124573,1.8639282941818238,157014484949401.6
Mamba_052,Mamba_052,Mamba,long_term_forecast,custom,5,success,,567552.0,31.472084045410156,178694008.0,0.08802141100168229,0.6652644515037537,1.2810991756850854e-05,-0.08148798123002052,-5.084633249219318,41.279201126098634,0.06041323691606522,1.2467144012451172,401590072220057.6
Mamba_053,Mamba_053,Mamba,long_term_forecast,custom,5,success,,551680.0,31.32207679748535,167683960.0,0.10466853529214859,0.6879377245903016,1.8153195742343087e-05,-0.10940385162830353,-5.246570223263409,33.52729454040527,0.07506628483533859,1.518329119682312,40860203247206.4
Mamba_054,Mamba_054,Mamba,long_term_forecast,custom,5,success,,448032.0,30.760833740234375,149522296.0,0.20212048888206482,0.6200381636619567,8.900402754079551e-05,-0.5089202582836151,-5.58002436689196,44.11216278076172,0.1508016914129257,2.3342305183410645,79694183530496.0
Mamba_055,Mamba_055,Mamba,long_term_forecast,custom,5,success,,260608.0,25.436250686645508,71591800.0,0.20844427347183228,0.6567131638526916,0.00013888827234040946,-0.6187928199768067,-5.250100809629868,31.568416595458984,0.146284618973732,1.9926401615142821,10052913279795.2
Mamba_056,Mamba_056,Mamba,long_term_forecast,custom,5,success,,398400.0,28.434293746948242,114132856.0,0.10541066080331803,0.6791403532028198,2.2231440016184934e-05,-0.14827861338853837,-5.314772698392242,32.67594337463379,0.07133689299225807,1.3385890245437622,12519945640345.6
Mamba_057,Mamba_057,Mamba,long_term_forecast,custom,5,success,,239936.0,23.68899917602539,57042808.0,0.15825264155864716,0.6605638146400452,4.842171183554456e-05,-0.34778709411621095,-5.0521068403401825,28.028955078125,0.08558137267827988,1.3989811182022094,1003396215603.2
Mamba_058,Mamba_058,Mamba,long_term_forecast,custom,5,success,,562176.0,31.432159423828125,173975416.0,0.07970822602510452,0.6670877575874329,9.679360937298043e-06,-0.06103436201810837,-4.958821915072186,38.1268253326416,0.05299292877316475,1.124807071685791,246134214125158.4
Mamba_059,Mamba_059,Mamba,long_term_forecast,custom,5,success,,635008.0,34.03730773925781,227452792.0,0.10519038736820222,0.6475605249404908,2.1944660329609177e-05,-0.12885148227214813,-5.1563454013337235,30.679301834106447,0.06487478911876679,1.4985506772994994,1134635628730777.5
Mamba_060,Mamba_060,Mamba,long_term_forecast,custom,5,success,,268928.0,26.894386291503906,77490040.0,0.12353819161653519,0.6658174991607666,3.543372222338803e-05,-0.1907198131084442,-5.104614066846299,30.896985244750976,0.06979554146528244,1.256688404083252,10763161200230.4
Mamba_061,Mamba_061,Mamba,long_term_forecast,custom,5,success,,611584.0,33.89391326904297,210937720.0,0.09947067201137542,0.645813500881195,1.5437697766174096e-05,-0.10228983610868454,-5.128764203272306,33.28117370605469,0.06580687686800957,1.4543184518814087,261601304038604.8
Mamba_062,Mamba_062,Mamba,long_term_forecast,custom,5,success,,567040.0,31.492076873779297,178694008.0,0.12634146362543106,0.682449734210968,2.576936058176216e-05,-0.16069169640541076,-5.3958182783844935,43.82442970275879,0.09113985151052476,1.8066243171691894,120845934526464.0
Mamba_063,Mamba_063,Mamba,long_term_forecast,custom,5,success,,366240.0,26.204105377197266,89950072.0,0.18438292741775514,0.6567707419395447,9.520551102468744e-05,-0.4849094808101654,-4.969326539785804,38.220013809204104,0.10634096562862397,1.974398398399353,21749928296448.0
Mamba_064,Mamba_064,Mamba,long_term_forecast,custom,5,success,,369312.0,26.29966163635254,92309368.0,0.17186956703662873,0.6560226798057556,8.786296748439782e-05,-0.4024106562137604,-5.149194617607298,40.70320701599121,0.11018418669700622,1.8617783069610596,29657746164940.8
Mamba_065,Mamba_065,Mamba,long_term_forecast,custom,5,success,,368160.0,26.26057243347168,91719544.0,0.13754042088985444,0.6707995533943176,5.7474197819828984e-05,-0.29792245030403136,-4.649457565814976,36.48686180114746,0.09540342837572098,1.5601536750793457,20578034725683.2
Mamba_066,Mamba_066,Mamba,long_term_forecast,custom,5,success,,236224.0,23.51249122619629,54290296.0,0.05100559666752815,0.7217655062675477,4.916990565106971e-06,-0.02856486141681671,-5.34204059881719,26.698257827758788,0.03166647627949715,0.5423877000808716,1608364143411.2
Mamba_067,Mamba_067,Mamba,long_term_forecast,custom,5,success,,257664.0,25.349502563476562,70018936.0,0.07752540707588196,0.6913302421569825,1.2038214117637836e-05,-0.06194831356406212,-5.467100938887542,45.78959312438965,0.039888471737504004,0.8267239928245544,9406580260864.0
Mamba_068,Mamba_068,Mamba,long_term_forecast,custom,5,success,,502016.0,28.59487533569336,129935224.0,0.1175407275557518,0.6864505410194397,2.352953815716319e-05,-0.16863484531641007,-4.774809654248946,33.858456420898435,0.07933901995420456,1.5498979568481446,64594542329856.0
Mamba_069,Mamba_069,Mamba,long_term_forecast,custom,5,success,,427584.0,30.487510681152344,135366520.0,0.12259197682142257,0.6458199143409729,3.922779687854927e-05,-0.15475935935974122,-5.74968013680993,33.07174835205078,0.08016768395900727,1.4767293691635133,39379132429107.2
Mamba_070,Mamba_070,Mamba,long_term_forecast,custom,5,success,,239296.0,23.680984497070312,56649592.0,0.06655101329088212,0.7199515700340271,1.239121047547087e-05,-0.05657988935709,-5.046718695522751,21.597880554199218,0.051949118822813035,0.6876253128051758,2703773663232.0
