candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,0.471303000,43.87636947631836,1.988771093,4.627545261383057,0.3824372410774231,0.19380322694778443,-62.58909683227539,-123.63067490438979,27.955741500854494,1.3449493408203126,56.57849655151367,0.028945590
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,0.341575000,40.78899002075195,1.401502226,2.425639343261719,0.40941681861877444,0.0925024002790451,-19.17843360900879,-310.55059189684596,29.80872802734375,1.292710256576538,31.44463996887207,0.059557886
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,2.531911000,68.2493896484375,7.784047310,5.420309162139892,0.420181131362915,0.18252639174461366,-108.20504760742188,-86.73140347732489,28.458965682983397,2.046749973297119,115.04618377685547,25445870.470588010
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,1.203271000,55.91121292114258,6.041105240,4.382029724121094,0.3837463617324829,0.17164887487888336,-76.11634979248046,-77.38559985689517,27.05960922241211,1.8127972602844238,68.42689971923828,0.827722650
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,1.794631000,63.7378044128418,7.886676954,5.310947036743164,0.42698177695274353,0.1712444543838501,-77.8267578125,-136.2481327034915,28.189089965820312,1.5775951147079468,110.25809936523437,324733.303468851
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,0.667911000,46.883724212646484,1.951022205,3.545107126235962,0.3761199951171875,0.13912890553474427,-33.95884017944336,-322.47206966576505,32.255445098876955,1.5041216135025024,45.39836959838867,0.123591402
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,1.498951000,59.9722900390625,7.055903873,4.0579980373382565,0.41579470634460447,0.12205836623907089,-53.0576171875,-418.38103260353284,30.358201217651366,1.4583980798721314,75.50583190917969,216.451203072
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,1.493383000,57.339237213134766,4.417576213,4.956681442260742,0.3912614583969116,0.17230447232723237,-81.41374206542969,-148.85171847673996,27.625895690917968,1.3676878690719605,79.52228546142578,0.109992082
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,0.671623000,48.95637130737305,3.132677017,3.3553958415985106,0.4143404126167297,0.1569324851036072,-46.39735145568848,-254.96144584862753,30.947041320800782,1.8280856609344482,51.8355224609375,156.993244365
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,ETTh1,5,success,,2.088775000,64.19930267333984,7.055903873,4.590661430358887,0.4193839132785797,0.13517644703388215,-66.27678070068359,-124.26518544971768,27.65584487915039,1.3662806510925294,91.55062103271484,180.054753280
