candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,127744.0,26.494903564453125,700054176.0,0.1504906967282295,0.47457892894744874,9.437498865736416e-05,-0.26340519934892653,-93.27547919755565,122.22702331542969,0.004551737173460424,1.1665762186050415,60345452331008.0
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,63040.0,21.14998435974121,340654752.0,0.10094838663935661,0.4357250392436981,5.185098852962255e-05,-0.12694001980125905,-102.12616075388632,90.48165130615234,0.02819816842675209,0.6546749711036682,4924515549184.0
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,60736.0,21.098115921020508,331217568.0,0.10324227437376976,0.436649763584137,6.882108882564353e-05,-0.133953245729208,-63.11336863633001,64.22321014404297,0.010609336011111737,0.6668289065361023,3401007497216.0
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,116448.0,25.786922454833984,638319264.0,0.1634763464331627,0.4333582937717438,0.00012503586513048503,-0.3302119806408882,-107.71356719171442,123.97747802734375,0.02048556711524725,1.1806114435195922,58758623815270.4
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,73856.0,23.24435043334961,391772832.0,0.1583040252327919,0.44988870024681094,0.00011631246452452615,-0.35468856021761896,-64.02396312700463,89.18975830078125,0.0174914738163352,1.0083332896232604,8054280237875.2
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,21888.0,16.4951114654541,104725152.0,0.08741864264011383,0.47239595651626587,4.85753840621328e-05,-0.0791864238679409,-66.56288919711463,99.4700698852539,0.03246979340910912,0.47319377660751344,176620172083.2
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,59008.0,21.09505844116211,312343200.0,0.11012758016586303,0.4348006069660187,6.292926882451866e-05,-0.14471787810325623,-72.87456041289825,92.2180404663086,0.03505286611616611,0.6978008508682251,2959942719897.6
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,39680.0,18.915569305419922,205388448.0,0.09511048048734665,0.4709321916103363,0.0001483334544900572,-0.10976010002195835,-73.389799806135,82.80314636230469,0.06094013974070549,0.6188281953334809,1020744420556.8
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,111840.0,25.792415618896484,610007712.0,0.18394116163253785,0.434545111656189,0.00018592291744425892,-0.5003643497824669,-85.82582361807526,101.92129058837891,0.035550542548298834,1.303855288028717,41589792361676.8
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,199040.0,29.615421295166016,1134164640.0,0.2227748453617096,0.4109809696674347,0.00030288111047411804,-0.7861758321523666,-118.33157397904442,144.88622436523437,0.04643578580580652,1.6988317608833312,54693995950899.2
Mamba_010,Mamba_010,Mamba,long_term_forecast,custom,5,success,,46272.0,20.14130973815918,237238944.0,0.1400250166654587,0.4258002281188965,0.00021878769803151954,-0.265023247897625,-99.06407811092261,88.36760711669922,-0.013604940939694643,0.8219312846660614,3717758084710.4
Mamba_011,Mamba_011,Mamba,long_term_forecast,custom,5,success,,128512.0,26.50723648071289,712637088.0,0.14373473972082138,0.47298903465270997,6.306260020210175e-05,-0.24450322911143302,-83.21547589162044,109.31479034423828,0.01409306873101741,1.1116634249687194,37074039419699.2
