candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,flops,grad_norm,fisher,grasp,jacob_cov,jacob_fro,sfrd,snip,synflow
timesnet_classification_uea_el4_dm16_df32_tk3_nk6_0040,timesnet_classification_uea_el4_dm16_df32_tk3_nk6_0040,TimesNet,classification,UEA,5,success,,1284916.0,250647008784.0,25.632079887390137,0.0434155136346817,-1286.6099243164062,-68.45639273332023,0.18307335376739503,0.6998674750328064,18.86823501586914,26950.075
timesnet_classification_uea_el2_dm64_df128_tk3_nk7_0041,timesnet_classification_uea_el2_dm64_df128_tk3_nk7_0041,TimesNet,classification,UEA,5,success,,15361348.0,3158448044040.0,43.35291290283203,0.029269446060061453,-3086.627087402344,-70.3580239228845,0.16619333922863005,1.0029110193252564,29.53033905029297,125358.4640625
timesnet_classification_uea_el2_dm64_df128_tk2_nk4_0042,timesnet_classification_uea_el2_dm64_df128_tk2_nk4_0042,TimesNet,classification,UEA,5,success,,3203268.0,364822406766.4,40.12340965270996,0.02928759753704071,-1859.0953857421875,-60.70691741533396,0.13839859664440154,0.9720592141151428,30.106341934204103,88882.346875
timesnet_classification_uea_el3_dm64_df128_tk4_nk3_0043,timesnet_classification_uea_el3_dm64_df128_tk4_nk3_0043,TimesNet,classification,UEA,5,success,,2171268.0,489606609932.0,41.81699981689453,0.04727485924959183,-5165.658068847656,-71.7606513909862,0.15713923573493957,0.8673034310340881,37.71663932800293,72245.0
timesnet_classification_uea_el1_dm64_df128_tk8_nk3_0044,timesnet_classification_uea_el1_dm64_df128_tk8_nk3_0044,TimesNet,classification,UEA,5,success,,1023236.0,309240255492.0,68.14922866821288,0.044328192621469496,-12304.5345703125,-73.0929917604584,0.17247906625270842,0.8886854529380799,45.93995361328125,65040.22109375
timesnet_classification_uea_el4_dm64_df256_tk5_nk3_0045,timesnet_classification_uea_el4_dm64_df256_tk5_nk3_0045,TimesNet,classification,UEA,5,success,,5040580.0,1603490953232.0,41.008810424804686,0.05185595229268074,-2793.089569091797,-67.30587082327379,0.16069470345973969,0.9371309399604797,44.266436386108396,95673.1734375
timesnet_classification_uea_el4_dm32_df64_tk3_nk3_0046,timesnet_classification_uea_el4_dm32_df64_tk3_nk3_0046,TimesNet,classification,UEA,5,success,,799204.0,122711944208.0,30.65060348510742,0.04470622166991234,-1188.7191162109375,-53.65160881831046,0.15495208501815796,0.849596631526947,22.982641983032227,36544.46953125
timesnet_classification_uea_el2_dm64_df256_tk2_nk5_0047,timesnet_classification_uea_el2_dm64_df256_tk2_nk5_0047,TimesNet,classification,UEA,5,success,,11265860.0,1493978955784.0,61.52095184326172,0.02969065383076668,-5203.696203613281,-63.46645301314586,0.1512167751789093,0.986153519153595,46.480160522460935,132738.584375
timesnet_classification_uea_el1_dm8_df32_tk3_nk5_0048,timesnet_classification_uea_el1_dm8_df32_tk3_nk5_0048,TimesNet,classification,UEA,5,success,,140836.0,17661485316.0,19.36199035644531,0.02040467895567417,-600.3673500061035,-57.3963695178144,0.18928577601909638,0.6302980422973633,13.11267671585083,16117.219921875
timesnet_classification_uea_el3_dm8_df32_tk8_nk8_0049,timesnet_classification_uea_el3_dm8_df32_tk8_nk8_0049,TimesNet,classification,UEA,5,success,,1101596.0,561953016204.0,21.75274486541748,0.029114913195371628,-998.7938690185547,-46.71274922879239,0.14008925557136537,0.699375307559967,12.797002792358398,25094.746484375
