candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd
mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr16_0028,mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc2_dtr16_0028,Mamba,short_term_forecast,m4,5,success,,0.2216586574912071
mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc4_dtr8_0029,mamba_short_term_forecast_m4_yearly_dm96_df16_expand1_dc4_dtr8_0029,Mamba,short_term_forecast,m4,5,success,,-0.3723760902881622
mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc3_dtr32_0030,mamba_short_term_forecast_m4_yearly_dm128_df16_expand2_dc3_dtr32_0030,Mamba,short_term_forecast,m4,5,success,,0.41316346526145936
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr16_0031,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr16_0031,Mamba,short_term_forecast,m4,5,success,,-0.006901837885379791
mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc4_dtr8_0032,mamba_short_term_forecast_m4_yearly_dm96_df12_expand2_dc4_dtr8_0032,Mamba,short_term_forecast,m4,5,success,,0.10067859143018723
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc3_dtr16_0033,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc3_dtr16_0033,Mamba,short_term_forecast,m4,5,success,,0.38828284740448
mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr32_0034,mamba_short_term_forecast_m4_yearly_dm96_df12_expand1_dc2_dtr32_0034,Mamba,short_term_forecast,m4,5,success,,0.14888371676206588
mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr8_0035,mamba_short_term_forecast_m4_yearly_dm128_df16_expand1_dc2_dtr8_0035,Mamba,short_term_forecast,m4,5,success,,-0.08503290368244051
mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr16_0036,mamba_short_term_forecast_m4_yearly_dm96_df8_expand1_dc3_dtr16_0036,Mamba,short_term_forecast,m4,5,success,,-0.3611872911453247
mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr8_0037,mamba_short_term_forecast_m4_yearly_dm64_df12_expand1_dc2_dtr8_0037,Mamba,short_term_forecast,m4,5,success,,0.5689759433269501
