candidate_id,candidate_name,model,task_name,data,num_batches,status,error,sfrd_q001,sfrd_q002,sfrd_q003,sfrd_q004,sfrd_q005
timesnet_classification_uea_el1_dm32_df128_tk6_nk7_0058,timesnet_classification_uea_el1_dm32_df128_tk6_nk7_0058,TimesNet,classification,UEA,5,success,,1.6407021522521972,1.5108064413070679,1.418959093093872,1.358288836479187,1.3094805240631104
timesnet_classification_uea_el3_dm32_df64_tk7_nk4_0059,timesnet_classification_uea_el3_dm32_df64_tk7_nk4_0059,TimesNet,classification,UEA,5,success,,1.5868345022201538,1.4312428951263427,1.3356056928634643,1.2688820838928223,1.2139488697052
timesnet_classification_uea_el4_dm8_df16_tk6_nk8_0060,timesnet_classification_uea_el4_dm8_df16_tk6_nk8_0060,TimesNet,classification,UEA,5,success,,1.4236958503723145,1.2814391374588012,1.185845708847046,1.1314441084861755,1.0838563323020936
timesnet_classification_uea_el4_dm32_df128_tk3_nk8_0061,timesnet_classification_uea_el4_dm32_df128_tk3_nk8_0061,TimesNet,classification,UEA,5,success,,1.6805049657821656,1.547937035560608,1.4522723436355591,1.3890826225280761,1.3337977409362793
timesnet_classification_uea_el3_dm16_df64_tk4_nk8_0062,timesnet_classification_uea_el3_dm16_df64_tk4_nk8_0062,TimesNet,classification,UEA,5,success,,1.3761893272399903,1.2228896141052246,1.1294432997703552,1.065227746963501,1.0145546317100524
timesnet_classification_uea_el4_dm8_df32_tk6_nk3_0063,timesnet_classification_uea_el4_dm8_df32_tk6_nk3_0063,TimesNet,classification,UEA,5,success,,0.9953113317489624,0.8604563713073731,0.778543758392334,0.731429147720337,0.70067298412323
timesnet_classification_uea_el2_dm32_df64_tk6_nk4_0064,timesnet_classification_uea_el2_dm32_df64_tk6_nk4_0064,TimesNet,classification,UEA,5,success,,1.4555186033248901,1.3264034032821654,1.2370248317718506,1.1781015634536742,1.1270845413208008
timesnet_classification_uea_el3_dm32_df64_tk5_nk5_0065,timesnet_classification_uea_el3_dm32_df64_tk5_nk5_0065,TimesNet,classification,UEA,5,success,,1.6141005516052247,1.4723005294799805,1.3780905723571777,1.3168467998504638,1.2644602298736571
timesnet_classification_uea_el4_dm16_df64_tk5_nk6_0066,timesnet_classification_uea_el4_dm16_df64_tk5_nk6_0066,TimesNet,classification,UEA,5,success,,1.4189661741256714,1.2852008819580079,1.198403286933899,1.1374601602554322,1.0903130292892456
timesnet_classification_uea_el3_dm64_df256_tk4_nk6_0067,timesnet_classification_uea_el3_dm64_df256_tk4_nk6_0067,TimesNet,classification,UEA,5,success,,1.6877309322357177,1.5363890409469605,1.437133526802063,1.3683199405670166,1.3126847267150878
timesnet_classification_uea_el4_dm8_df32_tk2_nk3_0068,timesnet_classification_uea_el4_dm8_df32_tk2_nk3_0068,TimesNet,classification,UEA,5,success,,0.9953113317489624,0.8604563713073731,0.778543758392334,0.731429147720337,0.70067298412323
