candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow
Autoformer_000,Autoformer_000,Autoformer,long_term_forecast,custom,5,success,,1566558.0,49.919158935546875,375656196.0,0.7411628484725952,0.5673617720603943,0.006706305593252182,-1.3953951954841615,-15.633996017843208,296.9606567382813,1.4599196672439576,17.049925994873046,1161641190.4
Autoformer_001,Autoformer_001,Autoformer,long_term_forecast,custom,5,success,,702046.0,41.046791076660156,144641029.0,0.5261420667171478,0.6377651333808899,0.009712167829275132,-1.070300531387329,-25.813784403333635,311.80625610351564,1.489537811279297,10.198515319824219,1197938969.6
Autoformer_002,Autoformer_002,Autoformer,long_term_forecast,custom,5,success,,7336286.0,84.20750427246094,1978783367.0,0.5755229651927948,0.5653505682945251,0.0030418184120208024,-0.8896785855293274,-8.210138329481946,293.78720703125,1.534018635749817,22.589766693115234,2.2253269601842156e+19
Autoformer_003,Autoformer_003,Autoformer,long_term_forecast,custom,5,success,,4974942.0,71.02110290527344,1587629701.0,0.564072060585022,0.5595007181167603,0.0033012062776833773,-0.8957283020019531,-13.667232909893306,294.52138671875,1.4782527208328247,19.00089454650879,162733847347.2
Autoformer_004,Autoformer_004,Autoformer,long_term_forecast,custom,5,success,,6025566.0,79.00004577636719,1995888263.0,0.9314377903938293,0.5704936861991883,0.003997611068189144,-2.803574228286743,-19.50220192790571,297.6785400390625,1.4672673702239991,34.770172119140625,4.150381310789026e+17
Autoformer_005,Autoformer_005,Autoformer,long_term_forecast,custom,5,success,,1763166.0,52.42610168457031,370937604.0,0.7177193522453308,0.5965139269828796,0.006896002776920795,-1.3993350982666015,-31.077138286331586,320.0676513671875,1.518651294708252,17.470881462097168,39094356377.6
Autoformer_006,Autoformer_006,Autoformer,long_term_forecast,custom,5,success,,5500254.0,75.11038970947266,1807094406.0,0.9120207667350769,0.6014777183532715,0.0038532085251063108,-2.651140642166138,-38.029077116496445,317.58662109375,1.5612349033355712,33.42398223876953,154491502041497.6
Autoformer_007,Autoformer_007,Autoformer,long_term_forecast,custom,5,success,,4836190.0,70.18951416015625,1228470020.0,1.0370498895645142,0.5197394847869873,0.004501379560679197,-2.4422231197357176,-16.8456328365144,297.02451782226564,1.4062955856323243,30.784763717651366,18903007641.6
Autoformer_008,Autoformer_008,Autoformer,long_term_forecast,custom,5,success,,2095198.0,57.01169967651367,519136902.0,0.8666306376457215,0.6110392570495605,0.007196821924299002,-3.1692267179489138,-30.989531680022242,323.3361083984375,1.6854619979858398,23.56500701904297,60467530065510.4
Autoformer_009,Autoformer_009,Autoformer,long_term_forecast,custom,5,success,,6548830.0,79.51730346679688,1807094406.0,0.9724291205406189,0.5538052082061767,0.0041791612282395365,-2.525757312774658,-20.91177503086599,296.4128356933594,1.5049726963043213,35.19581756591797,85727728422092.8
Autoformer_010,Autoformer_010,Autoformer,long_term_forecast,custom,5,success,,3524446.0,61.80109786987305,1016673027.0,0.7263787984848022,0.5715264081954956,0.0037223183549940585,-1.3340288400650024,-41.99780253301841,325.64971313476565,1.4553035020828247,20.76577377319336,1538051353.6
Autoformer_011,Autoformer_011,Autoformer,long_term_forecast,custom,5,success,,5761374.0,74.50662231445312,1574063749.0,0.9688646197319031,0.5528063774108887,0.004233038704842329,-1.0030627489089965,-16.405424842236563,296.4992248535156,1.6261029958724975,32.69077339172363,4738705679974.4
