candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow
Mamba_000,Mamba_000,Mamba,long_term_forecast,custom,5,success,,121088.0,26.494674682617188,689750272.0,0.02494204193353653,0.464786434173584,1.4461721775660408e-06,-0.0045062349643558266,-145.61492278701346,16.896520614624023,0.0030539225321263076,0.19233520925045014,23210580823244.8
Mamba_001,Mamba_001,Mamba,long_term_forecast,custom,5,success,,59712.0,21.236066818237305,335462656.0,0.018830524757504463,0.42479448318481444,1.2847381526626123e-06,-0.002485701348632574,-108.42086095491979,16.287145042419432,0.001404486014507711,0.12086055129766464,2912668352512.0
Mamba_002,Mamba_002,Mamba,long_term_forecast,custom,5,success,,57408.0,21.18829345703125,326025472.0,0.018903764337301253,0.41866247057914735,1.6830719005156425e-06,-0.0024270253023132684,-130.41627864368536,18.132672691345213,-0.00027094860561192034,0.11931835561990738,1843058075238.4
Mamba_003,Mamba_003,Mamba,long_term_forecast,custom,5,success,,111456.0,25.75218963623047,630571264.0,0.025882292166352273,0.40816652178764345,2.052034255939361e-06,-0.004811840178444981,-202.23158382872407,27.1651309967041,-0.000180308596463874,0.18018369376659393,17138291887308.8
Mamba_004,Mamba_004,Mamba,long_term_forecast,custom,5,success,,67200.0,23.067777633666992,381468928.0,0.029359632357954978,0.41160303354263306,2.875409450098232e-06,-0.006421401491388678,-374.33938189406683,29.041027450561522,0.004758457897696644,0.17287114560604094,2217217359872.0
Mamba_005,Mamba_005,Mamba,long_term_forecast,custom,5,success,,18560.0,16.385160446166992,99533056.0,0.0162118511274457,0.4607917070388794,1.7899431668411125e-06,-0.0019028235459700228,-165.66835735355141,23.103760528564454,0.0026277475350070744,0.0832450732588768,69190008832.0
Mamba_006,Mamba_006,Mamba,long_term_forecast,custom,5,success,,55680.0,21.167306900024414,307151104.0,0.02974669001996517,0.347023731470108,4.492199741434888e-06,-0.007528511714190245,-171.76583466048902,24.045366287231445,0.008940990641713142,0.1575643926858902,1631189886566.4
Mamba_007,Mamba_007,Mamba,long_term_forecast,custom,5,success,,36352.0,18.979677200317383,200196352.0,0.01702256444841623,0.4635067284107208,1.5593544389957969e-06,-0.002027144469320774,-151.79896058818406,20.149081802368165,-0.005200402624905109,0.1051922857761383,538169704448.0
Mamba_008,Mamba_008,Mamba,long_term_forecast,custom,5,success,,106848.0,25.72368049621582,602259712.0,0.027202770113945007,0.42647688984870913,2.2539110659636206e-06,-0.0055171842221170666,-90.47509002011988,16.543853187561034,0.005275443661957979,0.19298036396503448,12585885551820.8
Mamba_009,Mamba_009,Mamba,long_term_forecast,custom,5,success,,192384.0,29.477001190185547,1123860736.0,0.02821168042719364,0.42585585713386537,1.7781814449335798e-06,-0.005322269955649972,-109.16239151568277,14.366860961914062,0.0004903845954686403,0.22583092153072357,16658307901030.4
Mamba_010,Mamba_010,Mamba,long_term_forecast,custom,5,success,,41280.0,20.24854850769043,229490944.0,0.024439141899347306,0.4153911888599396,2.486243351995654e-06,-0.004433591337874532,-155.50031203310678,21.623155212402345,-0.00023403582163155078,0.1384637951850891,1376212484096.0
