candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.489237000,43.921051025390625,2.005415189,1.5775583744049073,0.36552377939224245,0.040074558556079866,-8.136779594421387,-170.31120669146117,64.62626495361329,1.4855112314224244,18.87558250427246,0.113413790
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.355029000,40.993919372558594,1.414017554,1.3408692121505736,0.3974823713302612,0.0400651678442955,-6.504383945465088,-460.1278951581329,81.38711242675781,1.516406202316284,17.114417266845702,0.350097440
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.566869000,68.51476287841797,7.809013454,2.0283300638198853,0.43939216136932374,0.03965495824813843,-14.81030445098877,-75.80181649543306,59.53993301391601,1.632602334022522,44.95957565307617,170763560.054004133
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.238229000,56.28079605102539,6.066071384,1.590019130706787,0.3941714704036713,0.03215079121291638,-10.26786756515503,-74.42663449915023,59.423013305664064,1.353698492050171,25.64777030944824,3.129952870
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.829589000,63.72962951660156,7.911643098,1.7540084600448609,0.4292851388454437,0.036261482536792754,-0.9030529499053955,-211.70891583449412,59.275413513183594,1.5941543102264404,36.52072334289551,1489550.412297011
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.685845000,46.75352478027344,1.967666301,1.6019118070602416,0.4049504518508911,0.04097941592335701,-11.81474027633667,-303.1388711273725,76.22068786621094,1.4723783731460571,22.727118682861327,0.890252147
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.533909000,60.07037353515625,7.080870017,1.9325154781341554,0.4197429418563843,0.037469221651554106,-13.52708740234375,-446.58650701423414,73.25889587402344,1.5804481267929078,36.63302383422852,6725.653810381
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.520277000,57.304752349853516,4.442477845,1.702928328514099,0.39199458956718447,0.02679704539477825,-11.197871971130372,-174.79217513140384,65.05559844970703,1.2116915941238404,27.36826057434082,0.468136518
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.694933000,49.04928207397461,3.149385625,1.2843398094177245,0.4549318790435791,0.028938185423612595,-6.045650291442871,-541.264712292298,77.15356750488282,1.3710815906524658,22.1573543548584,2660.855237837
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.123733000,64.20504760742188,7.080870017,1.7191769123077392,0.4242590606212616,0.03321322724223137,-10.446404838562012,-213.88928091171024,62.44958419799805,1.4178893089294433,34.58730621337891,1049.765216256
Autoformer_010,Autoformer_010,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.782229000,49.55420684814453,3.473685600,2.2160598278045653,0.38180950880050657,0.04874193444848061,-14.540495681762696,-221.56055123715697,68.77257843017578,1.5835713148117065,28.95094451904297,0.164406483
Autoformer_011,Autoformer_011,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.680597000,59.55230712890625,5.984675476,1.5290472507476807,0.4238215029239655,0.030528901889920235,-14.387121105194092,-123.33622907210501,68.609326171875,1.4471207857131958,27.883631896972656,78.204741222
Autoformer_012,Autoformer_012,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.656757000,48.61171340942383,2.082096358,1.4307641744613648,0.44474045038223264,0.04368545711040497,-9.465645217895508,-561.1474770164259,77.38455505371094,1.5790935516357423,23.913410949707032,12180.644272538
Autoformer_013,Autoformer_013,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.957077000,52.42658615112305,3.149385625,1.3744386434555054,0.42965487837791444,0.034286939352750775,-7.548903465270996,-216.9852137255789,67.89908294677734,1.5171856880187988,23.360110473632812,335.765313946
