dataset,validation_dir,run_dir,epoch,val_loss,early_stopping_counter,valid_log_path
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,13,0.606245,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,14,0.609752,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,15,0.602672,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,16,0.603651,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,17,0.605881,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,18,0.606534,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,19,0.60408,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,20,0.601862,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,21,0.600424,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,22,0.599694,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,23,0.601452,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,24,0.598433,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,25,0.599003,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,26,0.594579,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,27,0.598272,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,28,0.593066,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,29,0.596763,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,30,0.593193,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,31,0.593321,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,32,0.594495,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,33,0.59266,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,34,0.594866,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,35,0.5923,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,36,0.593765,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,37,0.596991,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,38,0.593338,3,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,39,0.593899,4,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
Traffic,02_val_Traffic,dspbuilder_meta_20260501_083347,40,0.594533,5,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/02_val_Traffic/dspbuilder_meta_20260501_083347/valid_logs/Traffic.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,1,0.606304,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,2,0.568265,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,3,0.529683,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,4,0.538279,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,5,0.518924,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,6,0.503252,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,7,0.486215,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,8,0.485413,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,9,0.484999,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,10,0.480356,0,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,11,0.484099,1,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
ECL,03_val_ECL,dspbuilder_meta_20260501_083347,12,0.488098,2,/home/junghc/TSLib/Time-Series-Library/meta_checkpoints/dspbuilder_meta_leave_one_out/260501_synflowlog_z_clipping/03_val_ECL/dspbuilder_meta_20260501_083347/valid_logs/ECL.txt
