candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow,,mse
Autoformer_070,Autoformer_070,Autoformer,long_term_forecast,custom,5,success,,1861640,59.8455162,6172016643,4.074417496,0.30813604,0.10203364,-53.80765228,-745.3745371,50.75437927,1.349409747,49.51322937,93246964.8,,0.149031058
Autoformer_071,Autoformer_071,Autoformer,long_term_forecast,custom,5,success,,541704,45.78585052,2774269957,3.37664547,0.317008299,0.185905147,-31.18772316,-865.0397483,56.10903168,1.291958594,35.60564117,1141932570,,0.172477901
Autoformer_072,Autoformer_072,Autoformer,long_term_forecast,custom,5,success,,287752,39.60645676,918284295,1.800748253,0.396329218,0.096845196,-11.08138351,-693.1452841,43.39477234,1.42231617,21.65807495,20487843840,,0.165942326
Autoformer_073,Autoformer_073,Autoformer,long_term_forecast,custom,5,success,,154632,33.38975143,623134725,1.648455596,0.330521041,0.071828394,-9.145427513,-752.9385877,58.10914536,1.262024665,14.54754848,404995584,,0.153430536
Autoformer_074,Autoformer_074,Autoformer,long_term_forecast,custom,5,success,,88584,28.64935875,410597379,3.868438768,0.333215946,0.473763311,-51.0153038,-135.1742361,45.33252182,2.560464954,26.05835648,11480174.8,,0.157280266
Autoformer_075,Autoformer_075,Autoformer,long_term_forecast,custom,5,success,,341000,40.32142258,1545424899,3.101310539,0.337204832,0.099936405,-31.6606617,-117.9831076,40.07683487,1.1856426,28.18723679,31827308.8,,0.161435321
Autoformer_076,Autoformer_076,Autoformer,long_term_forecast,custom,5,success,,472072,42.30978394,1576095747,3.016114187,0.332057023,0.177937883,-31.79431305,-447.3169576,52.31516418,1.986331034,29.45248833,31126281.2,,0.147739321
Autoformer_077,Autoformer_077,Autoformer,long_term_forecast,custom,5,success,,738312,48.44976044,2720006149,3.467093992,0.381583011,0.137737341,-41.09753876,-175.0263819,40.48340149,1.106089187,45.34100342,379295430.4,,0.167403996
Autoformer_078,Autoformer_078,Autoformer,long_term_forecast,custom,5,success,,2918408,68.51544189,10782920709,4.561355114,0.367945904,0.098951334,-71.7714119,-284.7351695,38.45860138,1.303557777,79.59288635,8748588032,,0.195089594
Autoformer_079,Autoformer_079,Autoformer,long_term_forecast,custom,5,success,,188936,34.42765045,705746949,1.93464694,0.390769053,0.090169306,-9.883445168,-389.9761737,56.08134995,1.34464519,19.05690765,347357836.8,,0.156785935
Autoformer_080,Autoformer_080,Autoformer,long_term_forecast,custom,5,success,,238344,37.09267807,812015622,2.78481636,0.397941881,0.207832232,-24.03129501,-704.2434358,59.07074356,1.997796798,30.91199226,1849949875,,0.150961712
Autoformer_081,Autoformer_081,Autoformer,long_term_forecast,custom,5,success,,2657288,69.14621735,12184743942,3.708826351,0.380157179,0.076517247,-46.07168121,-333.982629,35.9514122,1.248131824,70.61054382,1.12854E+12,,0.195799544
Autoformer_082,Autoformer_082,Autoformer,long_term_forecast,custom,5,success,,238344,37.09267807,842686470,2.697897911,0.401378542,0.117652376,-34.51666107,-294.6149382,36.81464539,1.438836551,29.98072395,90494694.4,,0.162644118
Autoformer_083,Autoformer_083,Autoformer,long_term_forecast,custom,5,success,,170760,33.0970192,516866052,2.862044907,0.352881569,0.143579897,-33.98001251,-132.997883,37.35901871,1.503648996,24.4187439,11200514.2,,0.158521682
Autoformer_084,Autoformer_084,Autoformer,long_term_forecast,custom,5,success,,238344,37.09267807,781344774,2.446901417,0.413237822,0.185282227,-18.17241611,-608.0405724,62.15218201,2.019873238,28.55606117,4207533619,,0.154310152
Autoformer_085,Autoformer_085,Autoformer,long_term_forecast,custom,5,success,,2131976,64.57919312,10782920709,5.153333759,0.34402256,0.120181179,-98.16609497,-315.69539,39.61148148,1.372446299,80.19358521,1484358323,,0.225318462
Autoformer_086,Autoformer_086,Autoformer,long_term_forecast,custom,5,success,,866312,50.61694717,2403823621,2.333124495,0.324270695,0.064707036,-19.09613686,-1931.653245,63.25622101,1.135826945,28.06862717,1.20884E+11,,0.154597327
Autoformer_087,Autoformer_087,Autoformer,long_term_forecast,custom,5,success,,472584,43.73970413,1989959684,2.395881176,0.279153782,0.101543836,-14.33391304,-1031.095373,55.32900467,1.289976573,21.97966042,60000845.6,,0.158157885
Autoformer_088,Autoformer_088,Autoformer,long_term_forecast,custom,5,success,,2918408,68.51544189,10674393093,5.362252808,0.368046343,0.137415595,-110.9130646,-242.6511373,38.19004211,1.523423886,93.74786682,20653825229,,0.2139889
Autoformer_089,Autoformer_089,Autoformer,long_term_forecast,custom,5,success,,341000,40.32142258,1606766595,3.027891445,0.301899737,0.10558629,-31.86518059,-274.4362883,35.56480255,1.159871244,24.93498802,31720241.6,,0.162359118
Autoformer_090,Autoformer_090,Autoformer,long_term_forecast,custom,5,success,,738312,48.44976044,2774269957,3.018244028,0.363404125,0.137376538,-31.46295204,-797.3385981,62.72438354,1.619380188,37.60664673,1767420032,,0.149412051
Autoformer_091,Autoformer_091,Autoformer,long_term_forecast,custom,5,success,,604168,47.20355988,2358996997,2.454492855,0.339493519,0.071203332,-17.97924557,-158.9151889,40.48419418,0.944132912,29.25709991,1555359693,,0.156114385
Autoformer_092,Autoformer_092,Autoformer,long_term_forecast,custom,5,success,,472584,43.73970413,2027708420,3.50575614,0.268129915,0.139651489,-37.52996902,-200.2139035,41.18966675,1.326366329,29.90381165,31654163.6,,0.159563705
Autoformer_093,Autoformer_093,Autoformer,long_term_forecast,custom,5,success,,121608,31.16661263,497991684,1.919476986,0.34276244,0.113324337,-11.92491665,-146.5842875,47.25457611,1.434883285,15.42910118,12124127.6,,0.156914845
Autoformer_094,Autoformer_094,Autoformer,long_term_forecast,custom,5,success,,472072,42.30978394,1606766595,3.285175371,0.320924824,0.194672492,-39.65620117,-454.0987478,52.24296112,2.017572403,30.94177284,30805852.8,,0.15427734
Autoformer_095,Autoformer_095,Autoformer,long_term_forecast,custom,5,success,,935432,52.44859695,3133870086,3.06653862,0.405026078,0.117719033,-33.88546104,-295.4207569,42.7988266,1.650276995,47.47325668,29239008870,,0.195564121
Autoformer_096,Autoformer_096,Autoformer,long_term_forecast,custom,5,success,,541704,45.78585052,2665742341,2.143895006,0.386083746,0.046035616,-16.43508663,-157.2360041,42.57129745,1.002410662,27.47407341,2540044237,,0.162743896
Autoformer_097,Autoformer_097,Autoformer,long_term_forecast,custom,5,success,,669192,46.82504272,1989959684,2.751678085,0.315087271,0.092896058,-24.96847725,-968.3572855,53.81992035,1.318108439,28.84850235,65059952,,0.154628277
Autoformer_098,Autoformer_098,Autoformer,long_term_forecast,custom,5,success,,1862664,61.96262741,7805050884,7.176961231,0.304125446,0.263194305,-196.3360229,-158.5028605,43.68564987,1.903787065,93.008461,90758728,,0.159754679
Autoformer_099,Autoformer_099,Autoformer,long_term_forecast,custom,5,success,,4493320,78.97036743,14077300743,3.650205898,0.381516737,0.048988369,-56.51883545,-382.7390112,38.82530212,0.995721102,79.34277954,2.20014E+13,,0.287824929
