candidate_id,candidate_name,model,split,task_name,data,dataset_name,dataset_family,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,0.470022000,43.89390563964844,1.987582229,4.2808715343475345,0.3882686197757721,0.21258311867713928,-55.139093017578126,-174.600498273067,27.16851234436035,1.5595600366592408,52.34256439208984,0.024121276,0.451308936
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,0.340614000,40.710445404052734,1.400608274,3.839271593093872,0.3557863891124725,0.18621317595243453,-44.82503318786621,-226.00436291484456,29.655029678344725,1.3035803318023682,41.684057998657224,0.108789386,0.445772052
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,2.529414000,68.29869842529297,7.782264014,6.049285411834717,0.41420592069625856,0.2817543029785156,-113.22927703857422,-123.39158041060145,26.022338485717775,1.7028658151626588,124.90306854248047,12275882.612123238,0.449082583
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,1.200774000,55.808250427246094,6.039321944,5.575950241088867,0.40869068503379824,0.22819170951843262,-86.63039932250976,-93.79173944876518,25.727058029174806,1.5954793691635132,92.20953826904297,0.666917696,0.427766174
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,1.792134000,63.52184295654297,7.884893658,3.534760284423828,0.42764135003089904,0.07642208635807038,-33.6161021232605,-138.42698751604183,26.448143005371094,1.0081037759780884,72.41590118408203,241607.607163290,0.429477662
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,0.666630000,46.73222732543945,1.949833341,3.8398115158081056,0.4167120695114136,0.1465541183948517,-84.62001571655273,-173.17772820523234,28.591783905029295,1.3818054914474487,53.75444412231445,0.161223418,0.441910416
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,1.496454000,59.967403411865234,7.054120577,3.400711011886597,0.44560415148735044,0.09667370021343231,-49.347555541992186,-299.9161296298044,39.0961181640625,1.238043522834778,67.90498046875,34.843517338,0.412697285
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,1.491462000,57.09513854980469,4.415797525,4.907122611999512,0.37393138408660886,0.15432165563106537,-61.16357650756836,-96.21283910174331,29.03001174926758,1.2053240537643433,73.43340377807617,0.088872621,0.442470789
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,0.669958000,48.96691131591797,3.131483545,3.3415300846099854,0.41561092138290406,0.1661681830883026,-36.3610034942627,-200.29919401690273,36.95492858886719,1.4308133363723754,50.817125701904295,54.154078618,0.438555062
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__current_velocity__H,TIME,5,success,,2.086278000,63.979190826416016,7.054120577,3.7418848991394045,0.42443457841873167,0.11232724338769913,-43.05741729736328,-133.589919330064,26.520092010498047,1.3729193210601807,74.41715698242187,144.093102080,0.418083251
