candidate_id,candidate_name,model,split,task_name,data,dataset_name,dataset_family,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.466179000,43.94483184814453,1.984015637,4.846487045288086,0.32287545800209044,0.19423066079616547,-71.02806549072265,-62.74151004458169,204.48523864746093,1.1541283130645752,48.29159851074219,0.012047434,0.040190883
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.337731000,40.94083023071289,1.397926418,4.850056743621826,0.3255381464958191,0.32664117217063904,-72.43633880615235,-130.58830016123278,384.2383331298828,1.4164604902267457,47.939904022216794,0.007873775,0.039814971
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,2.521923000,68.38981628417969,7.776914126,6.807021427154541,0.3875830829143524,0.3336522400379181,-164.19061431884765,-134.000560737383,579.8216339111328,1.4587600946426391,129.3342086791992,1316163.414707405,0.041522320
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.193283000,55.97085952758789,6.033972056,6.436243724822998,0.3455522358417511,0.2892954170703888,-130.81002197265624,-62.52807045475775,320.0621673583984,1.4886915683746338,88.4492416381836,0.300697395,0.039190881
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.784643000,63.69221115112305,7.879543770,5.942361736297608,0.3593196153640747,0.25424962639808657,-141.4175247192383,-148.17523446136695,340.5439193725586,1.463286542892456,100.4134292602539,54239.077544755,0.040642634
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.662787000,46.7344856262207,1.946266749,4.999031639099121,0.3684017717838287,0.20735253691673278,-76.60406799316407,-118.7838588268909,663.2941040039062,1.086796796321869,60.31644515991211,0.013082341,0.039114196
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.488963000,59.93890380859375,7.048770689,6.051469326019287,0.3535586714744568,0.3223645031452179,-117.12312469482421,-135.71166914774312,484.2995574951172,1.6768414974212646,93.67200775146485,341.716074496,0.038366642
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.485699000,57.230594635009766,4.410461461,5.357530784606934,0.35283968448638914,0.1834579348564148,-98.24551696777344,-66.26617924748624,182.65719146728514,1.0951283931732179,74.02986450195313,0.033973982,0.038587287
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.664963000,49.00344467163086,3.127903129,4.168880748748779,0.365867018699646,0.21314599514007568,-49.464995574951175,-191.028851668423,411.4902847290039,1.2929678678512573,55.29808349609375,0.601745485,0.039446708
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,2.078787000,64.09358978271484,7.048770689,6.246155166625977,0.34878441095352175,0.21087989807128907,-129.3811508178711,-89.88087660879607,277.07523651123046,0.9578375220298767,98.71710815429688,36.477585818,0.038185924
Autoformer_010,Autoformer_010,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.747651000,49.252838134765625,3.441669216,8.6699613571167,0.31007402539253237,0.5454208016395569,-246.90830688476564,-140.29421661884683,474.5405334472656,1.712640142440796,87.18299407958985,0.022293935,0.038498241
Autoformer_011,Autoformer_011,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.635651000,59.338191986083984,5.952576148,4.163560247421264,0.3786784470081329,0.1185405656695366,-60.475504302978514,-75.19040675312208,478.57618255615233,0.8994638442993164,65.37411193847656,6.445231514,0.040274877
Autoformer_012,Autoformer_012,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.634275000,48.43022537231445,2.065922278,4.138344955444336,0.4088030934333801,0.2734719842672348,-62.64075927734375,-247.53250181046937,766.3531555175781,1.59100239276886,60.50987243652344,9.852813722,0.040047273
Autoformer_013,Autoformer_013,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.927107000,52.3526496887207,3.127903129,3.8647475242614746,0.3877297818660736,0.18800293505191804,-48.71144104003906,-94.97451321724348,521.1452682495117,1.3435940504074098,57.232808685302736,0.602853542,0.038668826
Autoformer_014,Autoformer_014,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.263619000,38.409175872802734,1.101094013,4.730887603759766,0.3482980072498322,0.24872838258743285,-63.226348114013675,-103.92014832965594,296.17091979980466,0.9307274937629699,45.20976791381836,0.007923000,0.039231535
Autoformer_015,Autoformer_015,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,2.521923000,68.38981628417969,7.776914126,7.879685115814209,0.3755348801612854,0.41362011432647705,-220.18825988769532,-152.02104987512755,611.9326843261719,1.6440034866333009,144.72669067382813,4967198.289926554,0.040984001
Autoformer_016,Autoformer_016,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,2.078787000,64.09358978271484,7.048770689,5.700589752197265,0.36507474184036254,0.18803576231002808,-79.6045425415039,-183.88497471783086,423.8583709716797,0.9625869154930115,94.83910675048828,403.184091136,0.038399503
Autoformer_017,Autoformer_017,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.375843000,42.751136779785156,1.779706777,4.372712707519531,0.3496406614780426,0.3200101375579834,-54.26455383300781,-227.80476632985483,778.7146453857422,1.6208853483200074,48.97248229980469,0.291297107,0.039374884
Autoformer_018,Autoformer_018,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.488963000,59.93890380859375,6.956757913,6.048588752746582,0.35913490653038027,0.33523593544960023,-116.62571258544922,-151.72562816476335,663.0063034057617,1.7252233266830443,95.09412689208985,1943.482479411,0.040244550
Autoformer_019,Autoformer_019,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,1.124227000,55.8021354675293,3.541767130,3.4173975944519044,0.3927862882614136,0.12223932147026062,-11.991797637939452,-93.36590217443177,248.69686279296874,1.0036972761154175,54.96780242919922,7.265542554,0.038201418
Autoformer_020,Autoformer_020,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__Coastal_T_S__H,TIME,5,success,,0.374211000,40.451297760009766,1.101094013,5.310874938964844,0.33552753925323486,0.36822584867477415,-95.03507385253906,-67.82244287757547,306.1669403076172,1.6281246423721314,51.13682250976562,0.007655682,0.040363919
