candidate_id,candidate_name,model,split,task_name,data,dataset_name,dataset_family,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,mse
Autoformer_000,Autoformer_000,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,0.466179000,43.94483184814453,1.984015637,5.186144638061523,0.36343746185302733,0.17875134944915771,-76.5161361694336,-74.35406160177784,53.14869995117188,0.7770044088363648,58.084764099121095,0.012047474,0.248238385
Autoformer_001,Autoformer_001,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,0.337731000,40.94083023071289,1.397926418,6.130964851379394,0.38413851857185366,0.3250633329153061,-106.63882446289062,-180.1861875291714,64.65493392944336,1.209308934211731,70.60891723632812,0.007881495,0.248827606
Autoformer_002,Autoformer_002,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,2.521923000,68.38981628417969,7.776914126,5.255010604858398,0.41085891127586366,0.13978452384471893,-89.70926818847656,-122.7536580632659,45.014442443847656,0.8061986804008484,107.76028137207031,1303166.763139072,0.247150764
Autoformer_003,Autoformer_003,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,1.193283000,55.97085952758789,6.033972056,4.704855823516846,0.3987085998058319,0.12995202243328094,-104.7990837097168,-102.1886637344482,49.80887298583984,0.9619627237319947,74.49904403686523,0.299874502,0.247759715
Autoformer_004,Autoformer_004,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,1.784643000,63.69221115112305,7.879543770,6.459166240692139,0.41521832942962644,0.20601241290569305,-127.10435180664062,-85.43211815538557,45.141449737548825,0.9482392907142639,127.46435241699218,57554.045711155,0.237244055
Autoformer_005,Autoformer_005,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,0.662787000,46.7344856262207,1.946266749,9.956507110595703,0.3700836718082428,0.847430694103241,-318.8656066894531,-254.1811354784103,79.99703598022461,2.340954637527466,120.25617218017578,0.013073490,0.255275339
Autoformer_006,Autoformer_006,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,1.488963000,59.93890380859375,7.048770689,6.357998657226562,0.4063962817192078,0.29192276000976564,-187.9991943359375,-224.89299523862707,91.34382019042968,1.285269284248352,113.60712432861328,356.895483494,0.240681782
Autoformer_007,Autoformer_007,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,1.485699000,57.230594635009766,4.410461461,7.307904243469238,0.38486618399620054,0.2599565088748932,-218.46831359863282,-92.39422802830435,56.27395782470703,1.2587058782577514,110.9179672241211,0.033545111,0.248884887
Autoformer_008,Autoformer_008,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,0.664963000,49.00344467163086,3.127903129,4.678081893920899,0.39837985038757323,0.23507391214370726,-64.5568962097168,-354.4340813695787,69.42010498046875,1.0537606716156005,67.54827423095703,0.602175667,0.241941020
Autoformer_009,Autoformer_009,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,2.078787000,64.09358978271484,7.048770689,4.969418621063232,0.40127633810043334,0.14260188341140748,-89.0029510498047,-75.81422289031653,48.444376373291014,0.9008904337882996,92.25901641845704,36.927098880,0.240744844
Autoformer_010,Autoformer_010,Autoformer,proxy_train,long_term_forecast,multi_series,TIME__azure2019_D__5T,TIME,5,success,,0.747651000,49.252838134765625,3.441669216,7.48155574798584,0.3303501009941101,0.31901713609695437,-166.5730010986328,-239.98862201013648,115.81521453857422,0.9300650954246521,80.35233459472656,0.022301619,0.254458040
