candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse
Autoformer_025,Autoformer_025,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.64052,48.35784149,2.019100122,3.476787996,0.386617905,0.128942131,-44.3199707,-248.6608183,45.1036087,1.375562477,47.99821472,119.4519953,,0.169375733
Autoformer_026,Autoformer_026,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.052936,53.63167953,4.419354901,5.25500021,0.296110952,0.222538471,-102.4451935,-237.6372095,43.08862152,1.809594631,58.29984283,0.058963478,,0.159013316
Autoformer_027,Autoformer_027,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.4562,44.98391724,1.967785166,2.583174944,0.422887617,0.109237543,-7.001763535,-844.9923269,64.39454727,1.548206377,37.4297348,88519.09813,,0.157335579
Autoformer_028,Autoformer_028,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.132552,55.86660004,3.54773449,2.540594006,0.392907935,0.05362649,-22.70128479,-230.3677978,39.42714996,0.985544956,41.33867111,5352.598693,,0.158914998
Autoformer_029,Autoformer_029,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.604168,47.20355988,2.44865077,3.045944595,0.311592251,0.117567787,-29.90501862,-874.7929322,60.2661026,1.280474901,33.60081367,0.25286873,,0.153712824
Autoformer_030,Autoformer_030,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.64052,48.35784149,2.070415078,3.232765102,0.378797203,0.116347012,-37.75240555,-259.8451859,41.98773956,1.318396664,43.53053665,19.44422236,,0.188500226
Autoformer_031,Autoformer_031,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.205768,55.95563507,5.961492628,3.274006271,0.379862738,0.089840335,-32.78948135,-486.283531,46.18006592,1.471692443,49.67514343,10.9042516,,0.162304342
Autoformer_032,Autoformer_032,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.489992,43.82276917,1.402396178,3.129204082,0.325649053,0.120979604,-33.75494385,-192.5614172,40.88659592,1.275365996,32.61713371,0.020928982,,0.152657151
Autoformer_033,Autoformer_033,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.604168,47.20355988,2.44865077,3.045945358,0.311592233,0.117567848,-29.91067543,-874.7801782,60.26612091,1.280473423,33.60080261,0.26710641,,0.145988017
Autoformer_034,Autoformer_034,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.194312,35.18553925,0.898974932,2.917884588,0.316212028,0.118732972,-27.22995567,-115.1474195,40.69382477,1.281332779,22.45399437,0.021982423,,0.162857026
Autoformer_035,Autoformer_035,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.669192,46.82504272,1.989959957,2.909377193,0.344993973,0.073120014,-25.94074631,-177.6600178,45.87613373,0.915841269,33.24733238,0.033517938,,0.153093576
Autoformer_036,Autoformer_036,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432,52.44859695,3.133870489,3.066593647,0.405025059,0.117727487,-34.79556274,-295.4341573,42.79894638,1.650332141,47.47397461,27.45236152,,0.183975339
Autoformer_037,Autoformer_037,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.935432,52.44859695,3.072528561,3.847145891,0.390661854,0.187002832,-50.53043365,-436.4149923,51.78369904,1.930791783,57.29645462,566.5281278,,0.144071564
Autoformer_038,Autoformer_038,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.757256,49.22337723,3.450562656,3.967387629,0.327236724,0.104712962,-51.64925995,-147.88916,43.31608658,1.174691868,42.1883522,0.056814717,,0.165166318
Autoformer_039,Autoformer_039,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.673288,48.83770752,3.072528561,3.184384823,0.382520097,0.11619806,15.86555672,-157.4342685,40.39234695,1.60840559,44.03695679,301.8218865,,0.170840234
Autoformer_040,Autoformer_040,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.866312,50.61694717,2.44865077,2.570607424,0.274850106,0.085650773,-17.44248619,-385.5129926,42.74279327,1.140289378,26.41873512,0.17185753,,0.161901563
Autoformer_041,Autoformer_041,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.052168,51.76076126,3.450562656,3.614189529,0.330792361,0.122254854,-34.65651283,-203.1375157,42.61424408,1.317671227,41.29568939,0.059650199,,0.152999148
Autoformer_042,Autoformer_042,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.648136,59.26516724,6.124284444,6.841474247,0.352454197,0.385362446,-161.4036957,-220.9079116,44.32788162,2.107585001,99.62025909,1.104006246,,0.192851245
Autoformer_043,Autoformer_043,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312,48.44976044,2.665742484,2.966072655,0.388638377,0.119418712,-26.27647362,-122.8273203,45.93946304,1.20296948,39.79592819,1.149182464,,0.177075461
Autoformer_044,Autoformer_044,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.472584,43.73970413,1.952211069,2.859113884,0.300458187,0.099042451,-22.69064331,-116.8434461,43.81308594,1.183829355,27.23021431,0.04235299,,0.159448698
Autoformer_045,Autoformer_045,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.26804,36.66313934,0.898974932,2.582146931,0.293809962,0.148905349,-21.03046303,-231.5306351,40.97037811,1.268407822,19.14995155,0.020734252,,0.161518574
Autoformer_046,Autoformer_046,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.93844,61.91589737,5.342140758,3.108458328,0.323628545,0.090671378,-30.30903664,-977.3037354,66.17662811,1.328145385,44.85136261,1233.398373,,0.155550048
Autoformer_047,Autoformer_047,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.382088,42.47563171,1.830206081,2.808987284,0.344496721,0.085848349,-22.22935219,-255.1813356,36.64069672,0.901763237,30.80461502,0.15461288,,0.191954046
Autoformer_048,Autoformer_048,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.091272,64.10781097,6.965674393,3.752675676,0.396804482,0.11515272,-50.58242874,-259.1678296,41.00667572,1.455163288,68.40092773,288.6533448,,0.20192264
Autoformer_049,Autoformer_049,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.495304,57.23490524,4.475978157,3.007069206,0.298925012,0.087666868,-25.51551933,-196.1773663,41.06856461,1.051330793,35.91652298,0.061506219,,0.157142282
Autoformer_050,Autoformer_050,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.738312,48.44976044,2.720006488,2.648283386,0.385731316,0.11431798,-23.58424988,-663.8751019,59.32038269,1.526730132,35.29108047,3.35430144,,0.148498818
Autoformer_051,Autoformer_051,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.268424,38.08184433,1.162187181,2.164935923,0.288871956,0.03866468,-19.02796593,-344.6909,40.92499924,0.776479053,16.96778297,0.020376699,,0.163921565
Autoformer_052,Autoformer_052,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.194312,35.18553925,0.87597168,1.911112142,0.352497005,0.070418298,-10.92055511,-288.364181,49.20033951,1.201067853,16.62891216,0.022446122,,0.155425549
Autoformer_053,Autoformer_053,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.804872,51.97501755,3.54773449,1.979017687,0.38580001,0.050468795,-12.81151962,-1379.327041,57.53096542,1.101259518,30.22794037,27147.54624,,0.142748773
Autoformer_054,Autoformer_054,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.529544,45.33251953,1.738193073,2.500553465,0.407916892,0.097253476,-20.98019485,-195.3117681,39.03069458,1.574222541,34.14067841,85.3688107,,0.166756243
