candidate_id,candidate_name,model,split,task_name,data,num_batches,status,error,MParams,l2_norm,GFLOPs,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,GSynFlow,,mse
Autoformer_025,Autoformer_025,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.656757,48.61171341,2.030781402,1.33379674,0.436069971,0.037742797,-6.054538441,-111.2232842,59.08381958,1.495836234,21.3592144,787.4199552,,0.265442014
Autoformer_026,Autoformer_026,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.077909,53.84685135,4.442477845,1.725518537,0.360489237,0.027964124,-8.224451447,-72.95557867,58.18148041,1.272134733,23.83944321,0.164127005,,0.27924633
Autoformer_027,Autoformer_027,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.472437,45.14888382,1.979466446,1.592578912,0.432173532,0.046575596,-9.939826012,-293.0784727,71.07976685,1.686185622,24.19369125,16922.75206,,0.245728061
Autoformer_028,Autoformer_028,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.154197,56.05242538,3.563249626,1.441494823,0.421473241,0.035275737,-7.978058147,-111.2452858,58.28935471,1.446417665,25.42207603,9781.44702,,0.251416683
Autoformer_029,Autoformer_029,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.620821,47.18032837,2.464106002,1.415682912,0.403248155,0.033810508,-8.155132389,-488.4856007,70.47053833,1.302353144,20.76388359,3.484381901,,0.240834743
Autoformer_030,Autoformer_030,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.656757,48.61171341,2.082096358,1.290508008,0.432253766,0.038122453,-5.67550478,-128.6408705,59.16997604,1.489341497,20.53758278,117.4823223,,0.255637646
Autoformer_031,Autoformer_031,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.238229,56.28079605,5.984675476,1.611265755,0.429807466,0.03025667,-15.82420712,-321.2322901,75.04858551,1.369841337,28.61414452,65.32650189,,0.361150682
Autoformer_032,Autoformer_032,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.502485,44.03054047,1.414017554,1.417336369,0.383779514,0.037809642,-6.768983459,-79.53057565,65.82363815,1.427974963,17.92510757,0.060423853,,0.262322128
Autoformer_033,Autoformer_033,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.620821,47.18032837,2.464106002,1.415683055,0.403248072,0.033810516,-8.155430317,-488.4855222,70.47053223,1.302353501,20.76388397,3.304692429,,0.235709459
Autoformer_034,Autoformer_034,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.206805,35.12335587,0.910596308,1.378626728,0.376349312,0.043344071,-6.441140556,-114.2671801,74.83976288,1.473716617,13.29471188,0.055570501,,0.319786161
Autoformer_035,Autoformer_035,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.685845,46.75352478,2.005415189,1.642641044,0.378376931,0.040772461,-8.474444199,-70.38815448,61.18197784,1.402792025,21.14902954,0.082927869,,0.237409756
Autoformer_036,Autoformer_036,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.957077,52.42658615,3.149385625,1.374438334,0.429654813,0.034286939,-7.548831749,-216.9848056,67.899086,1.51718719,23.36010246,336.9565618,,0.252777994
Autoformer_037,Autoformer_037,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.957077,52.42658615,3.088043697,1.45228653,0.445417112,0.035162513,-4.841725063,-462.201417,76.76296844,1.626536202,25.83912086,7253.359329,,0.296472073
Autoformer_038,Autoformer_038,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.782229,49.55420685,3.4736856,2.057278585,0.372760338,0.04276946,-12.90111027,-71.72791805,63.51728592,1.477486396,25.74071236,0.158254426,,0.324397236
Autoformer_039,Autoformer_039,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.694933,49.04928207,3.088043697,1.328591132,0.437471914,0.03095612,-29.63328609,-161.0367635,66.21981201,1.486528087,21.71795883,4729.29471,,0.367709368
Autoformer_040,Autoformer_040,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.882965,50.77870178,2.464106002,1.556363583,0.391493499,0.042594883,-7.678876114,-166.7967983,68.83508759,1.531208634,23.22048531,0.311518592,,0.26074478
Autoformer_041,Autoformer_041,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.077141,52.0532341,3.4736856,1.702534175,0.391265357,0.036163292,-9.36295948,-90.63153594,69.08460541,1.472469735,24.14008293,0.158099754,,0.376665652
Autoformer_042,Autoformer_042,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.680597,59.55230713,6.147467292,1.670006227,0.40158655,0.036917321,-9.364900398,-98.19000616,63.12568665,1.413943434,28.75052681,3.536540826,,0.292698711
Autoformer_043,Autoformer_043,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.759957,48.58853149,2.68125762,1.541450238,0.409571248,0.043682577,-7.609179974,-71.38880867,63.02677689,1.534843969,22.55315704,4.790915379,,0.378853768
Autoformer_044,Autoformer_044,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.489237,43.92105103,1.967666301,1.468782496,0.374865186,0.037298817,-6.703723049,-81.42745594,58.83977966,1.456532359,17.78625259,0.244166365,,0.305226445
Autoformer_045,Autoformer_045,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.280533,36.86197281,0.910596308,1.230299592,0.39672153,0.031208775,-4.948592854,-105.9574253,70.59174347,1.252973318,13.20519619,0.053724193,,0.312304646
Autoformer_046,Autoformer_046,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.963413,62.0906601,5.365263702,1.912564588,0.423027033,0.033890313,-12.80441952,-393.0661456,73.14692688,1.387717748,37.22699356,17694.40941,,0.264693022
Autoformer_047,Autoformer_047,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.398325,42.51033783,1.841887361,1.215850759,0.419221312,0.037640801,-4.22492907,-178.0108703,64.36980743,1.479532504,16.99206715,1.829020083,,0.27742517
Autoformer_048,Autoformer_048,Autoformer,proxy_train,long_term_forecast,custom,5,success,,2.123733,64.20504761,6.988857241,1.742250991,0.414502394,0.032551263,-10.1942627,-102.9812661,56.16314926,1.413666224,33.8873539,870.7910402,,0.301557332
Autoformer_049,Autoformer_049,Autoformer,proxy_train,long_term_forecast,custom,5,success,,1.520277,57.30475235,4.499101101,1.723529601,0.383999217,0.027394039,-8.838828182,-174.5625865,65.76672058,1.218117523,27.10935669,0.163759411,,0.278653324
Autoformer_050,Autoformer_050,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.759957,48.58853149,2.735521624,1.503956866,0.436012423,0.040214287,-7.410787487,-555.0533824,81.32260895,1.498246336,24.12574463,11.92470077,,0.265822798
Autoformer_051,Autoformer_051,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.280917,38.06328583,1.173808557,1.379464412,0.374916738,0.043006626,-7.05893383,-76.49991668,64.90476685,1.466227484,14.93845081,0.054708013,,0.297673434
Autoformer_052,Autoformer_052,Autoformer,proxy_train,long_term_forecast,custom,5,success,,0.206805,35.12335587,0.887593056,1.394616985,0.385997558,0.044916891,-6.855788898,-344.6714649,86.20187378,1.489316177,13.81436291,0.056970299,,0.379422754
