component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.383800717621,0.383800717621
2,0.094239538140,0.478040255761
3,0.078702995212,0.556743250973
4,0.071635512437,0.628378763410
5,0.059861861636,0.688240625046
6,0.051396884950,0.739637509996
7,0.045063033816,0.784700543812
8,0.035994729184,0.820695272996
9,0.033315505421,0.854010778417
10,0.030277368633,0.884288147051
11,0.022541899929,0.906830046979
